施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
台場保育園	2017	2	2	""	2	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
台場保育園	2017	3	3	""	3	39	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
台場保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
台場保育園	2017	5	5	""	4	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
滝王子保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
滝王子保育園	2017	1	1	""	11	40	D12	""	http://statdb.nstac.go.jp/lod/sac/C13109
滝王子保育園	2017	2	2	""	2	42	D2	""	http://statdb.nstac.go.jp/lod/sac/C13109
滝王子保育園	2017	3	3	""	2	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
滝王子保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
滝王子保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
中延保育園	2017	0	0	""	10	43	D17	""	http://statdb.nstac.go.jp/lod/sac/C13109
中延保育園	2017	1	1	""	6	42	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
中延保育園	2017	2	2	""	2	43	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
中延保育園	2017	3	3	""	2	40	D2	""	http://statdb.nstac.go.jp/lod/sac/C13109
中延保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
中延保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
中原保育園	2017	0	0	""	7	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
中原保育園	2017	1	1	""	7	43	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
中原保育園	2017	2	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
中原保育園	2017	3	3	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
